country_code,customer_id,invoice_number,invoice_date,due_date,invoice_amount,settled_date,process_type
818,8887-NCUZC,101415601,5/31/2012,6/30/2012,40.07,7/4/2012,Paper
897,9286-VLKMI,101747306,5/27/2013,6/26/2013,58.19,5/29/2013,Electronic
406,6833-ETVHD,103483331,7/27/2012,8/26/2012,72.13,8/18/2012,Electronic
391,6160-HCSFI,104628267,1/13/2012,2/12/2012,72.72,2/4/2012,Paper
391,1080-NDGAE,106360977,2/19/2012,3/20/2012,93.48,3/26/2012,Paper
897,6296-UKEUZ,106486147,9/21/2013,10/21/2013,46.55,9/25/2013,Electronic
770,6831-FIODB,110122785,10/23/2012,11/22/2012,32.58,11/30/2012,Paper
897,6296-UKEUZ,120364375,4/23/2013,5/23/2013,34.63,4/24/2013,Electronic
818,5148-SYKLB,121797094,9/28/2012,10/28/2012,89.15,10/30/2012,Paper
391,0379-NEVHP,122662308,8/5/2013,9/4/2013,43.64,8/21/2013,Electronic
770,7758-WKLVM,123645023,12/22/2012,1/21/2013,44.36,1/24/2013,Electronic
770,3993-QUNVJ,131216793,2/1/2013,3/3/2013,56.65,2/5/2013,Electronic
391,9174-IYKOC,135429278,8/2/2012,9/1/2012,58.2,8/24/2012,Paper
391,2676-DZINU,145315244,8/19/2013,9/18/2013,83.05,9/6/2013,Electronic
391,9014-WENVB,152050637,2/13/2013,3/15/2013,60.03,3/11/2013,Paper
406,6833-ETVHD,152808559,9/11/2012,10/11/2012,59.01,9/29/2012,Electronic
406,1447-YZKCL,173814675,4/27/2013,5/27/2013,66.85,5/27/2013,Electronic
818,8364-UWVLM,176356154,8/20/2012,9/19/2012,78.83,10/3/2012,Paper
770,9323-NDIOV,176953642,9/10/2013,10/10/2013,65,10/17/2013,Electronic
391,5920-DPXLN,176959210,8/30/2012,9/29/2012,57.18,9/19/2012,Paper
391,6708-DPYTF,180192586,8/2/2012,9/1/2012,74.65,9/18/2012,Paper
391,9014-WENVB,186123387,6/9/2012,7/9/2012,59.85,7/8/2012,Paper
406,4632-QZOKX,186768686,6/10/2012,7/10/2012,40.54,7/11/2012,Paper
391,2125-HJDLA,189882917,9/3/2012,10/3/2012,51.44,10/17/2012,Electronic
770,5592-UQXSS,190687025,7/15/2013,8/14/2013,28.43,8/2/2013,Electronic
406,9725-EZTEJ,195093797,11/2/2013,12/2/2013,78.73,12/4/2013,Electronic
897,6177-VTITE,195359114,8/29/2012,9/28/2012,56.26,9/21/2012,Paper
391,5529-TBPGK,202519703,2/10/2013,3/12/2013,77.26,3/13/2013,Paper
406,4640-FGEJI,203036054,9/23/2012,10/23/2012,64.6,10/15/2012,Paper
406,5284-DJOZO,204757285,1/13/2012,2/12/2012,54.44,1/27/2012,Paper
897,0688-XNJRO,206372278,8/14/2013,9/13/2013,49.04,9/21/2013,Electronic
406,8389-TCXFQ,208940420,12/1/2013,12/31/2013,70.45,1/4/2014,Electronic
391,8820-BLYDZ,213324193,10/13/2012,11/12/2012,66.12,10/22/2012,Paper
391,9174-IYKOC,217272343,9/22/2013,10/22/2013,49.88,10/23/2013,Electronic
391,3569-VJWXS,218034886,2/1/2013,3/3/2013,38.64,3/5/2013,Paper
770,7050-KQLDO,222477564,3/8/2012,4/7/2012,65.7,4/9/2012,Paper
818,5924-UOPGH,232048622,3/14/2012,4/13/2012,67.6,4/11/2012,Paper
391,9174-IYKOC,237437528,12/9/2012,1/8/2013,35.69,1/15/2013,Electronic
391,1080-NDGAE,246081324,9/6/2012,10/6/2012,92.53,10/13/2012,Paper
897,9286-VLKMI,254550541,12/28/2012,1/27/2013,61.59,1/8/2013,Paper
406,4640-FGEJI,261246477,10/20/2013,11/19/2013,94.47,11/5/2013,Electronic
391,9174-IYKOC,263678657,9/10/2012,10/10/2012,38,10/11/2012,Paper
391,8156-PCYBM,270702396,10/31/2012,11/30/2012,50.24,11/25/2012,Electronic
818,5924-UOPGH,273425635,2/7/2012,3/8/2012,113.76,3/19/2012,Paper
406,4092-ZAVRG,274057720,5/7/2012,6/6/2012,50.96,5/13/2012,Paper
770,9928-IJYBQ,277331044,11/2/2012,12/2/2012,73.25,11/26/2012,Electronic
770,3993-QUNVJ,280670965,1/3/2012,2/2/2012,50.39,1/23/2012,Paper
391,0379-NEVHP,281287578,10/28/2012,11/27/2012,76.81,11/19/2012,Paper
897,6177-VTITE,282342168,2/6/2012,3/7/2012,63.28,2/20/2012,Paper
406,6048-QPZCF,284482411,2/14/2013,3/16/2013,87.9,3/17/2013,Electronic
897,1408-OQZUE,285510254,4/5/2012,5/5/2012,27.05,5/28/2012,Paper
897,8690-EEBEO,286008070,2/26/2013,3/28/2013,53.45,3/31/2013,Electronic
406,8389-TCXFQ,287254498,1/22/2012,2/21/2012,72.49,2/21/2012,Paper
406,4092-ZAVRG,291694356,2/27/2013,3/29/2013,69.65,3/11/2013,Electronic
406,7600-OISKG,296503272,7/3/2012,8/2/2012,61.25,8/7/2012,Paper
770,7758-WKLVM,298536056,3/12/2013,4/11/2013,70.85,5/6/2013,Electronic
897,6177-VTITE,299012002,11/29/2013,12/29/2013,41.97,12/13/2013,Electronic
770,7856-ODQFO,300108731,11/30/2013,12/30/2013,49.71,1/6/2014,Electronic
391,5196-TWQXF,302496633,7/4/2012,8/3/2012,72.65,7/26/2012,Electronic
406,6048-QPZCF,308536412,11/25/2012,12/25/2012,73.73,12/1/2012,Electronic
406,3448-OWJOT,312361525,7/5/2012,8/4/2012,66.13,8/13/2012,Paper
406,5284-DJOZO,320318018,3/23/2013,4/22/2013,80.71,3/24/2013,Electronic
406,5284-DJOZO,321937283,5/25/2013,6/24/2013,72.85,6/8/2013,Electronic
818,3568-JJMFW,326671411,12/27/2012,1/26/2013,88.5,1/18/2013,Electronic
391,7841-HROAQ,329307404,8/2/2012,9/1/2012,68.53,9/9/2012,Paper
818,5613-UHVMG,333420180,11/10/2013,12/10/2013,60.6,12/12/2013,Electronic
818,3271-HYHDN,354407690,4/12/2013,5/12/2013,45.56,4/17/2013,Paper
770,2447-JCFGW,355095997,12/12/2012,1/11/2013,31.38,1/5/2013,Electronic
391,3598-DNURW,360452276,1/30/2012,2/29/2012,56.37,2/20/2012,Paper
818,3271-HYHDN,367399005,8/10/2013,9/9/2013,58.78,8/10/2013,Electronic
406,4092-ZAVRG,368163381,8/23/2013,9/22/2013,62.68,9/11/2013,Electronic
770,7050-KQLDO,371943035,10/24/2013,11/23/2013,76.69,11/15/2013,Electronic
391,5196-TWQXF,374328279,7/8/2013,8/7/2013,60,8/2/2013,Electronic
770,7856-ODQFO,374625254,4/3/2013,5/3/2013,37.82,4/25/2013,Electronic
897,9250-VHLWY,374628242,5/9/2013,6/8/2013,29.93,5/28/2013,Paper
391,2125-HJDLA,380292674,3/2/2013,4/1/2013,26.83,4/10/2013,Electronic
897,8942-ERSWK,381841466,11/12/2013,12/12/2013,32.95,11/15/2013,Electronic
391,2820-XGXSB,385813290,5/7/2012,6/6/2012,73.9,5/8/2012,Electronic
770,6077-FDQRK,387380707,8/20/2012,9/19/2012,62.95,9/15/2012,Paper
818,3568-JJMFW,391669562,8/8/2012,9/7/2012,71.98,9/4/2012,Electronic
406,7245-CKNCN,401983784,8/17/2013,9/16/2013,51.6,9/4/2013,Electronic
897,8942-ERSWK,420999665,4/21/2013,5/21/2013,34.12,5/10/2013,Electronic
391,3598-DNURW,423629217,8/9/2012,9/8/2012,57.34,9/3/2012,Paper
406,5284-DJOZO,428154463,5/3/2012,6/2/2012,39.51,5/21/2012,Paper
391,6708-DPYTF,428957919,2/13/2012,3/14/2012,86.74,3/30/2012,Paper
406,4651-PMEXQ,449356610,1/4/2013,2/3/2013,77.46,1/24/2013,Electronic
391,5529-TBPGK,451448142,11/20/2012,12/20/2012,55.81,12/15/2012,Paper
406,7245-CKNCN,472551457,7/20/2013,8/19/2013,66.28,8/4/2013,Electronic
391,0379-NEVHP,476918544,2/14/2013,3/16/2013,55.21,3/3/2013,Paper
391,9014-WENVB,479534953,4/13/2013,5/13/2013,65.83,6/2/2013,Paper
770,4460-ZXNDN,485064626,10/6/2012,11/5/2012,80.31,11/13/2012,Paper
770,7856-ODQFO,488925270,5/18/2013,6/17/2013,40.54,6/7/2013,Electronic
770,0706-NRGUP,489697015,4/16/2012,5/16/2012,41.44,5/22/2012,Paper
770,6831-FIODB,490252754,5/8/2013,6/7/2013,36.29,6/14/2013,Paper
770,2687-XWAMA,493580936,6/17/2012,7/17/2012,60.22,7/24/2012,Paper
391,9212-BTDMX,496849530,6/2/2013,7/2/2013,59.71,6/16/2013,Electronic
897,6296-UKEUZ,497305913,11/7/2012,12/7/2012,54.74,11/29/2012,Paper
406,6048-QPZCF,498009655,8/24/2012,9/23/2012,76.34,9/19/2012,Electronic
897,1408-OQZUE,500975230,4/18/2013,5/18/2013,37.81,5/23/2013,Electronic
897,6177-VTITE,511851896,12/26/2012,1/25/2013,8.27,1/6/2013,Electronic
391,8156-PCYBM,512194602,3/28/2012,4/27/2012,64.4,4/28/2012,Electronic
770,0465-DTULQ,514496777,9/14/2012,10/14/2012,32.86,10/17/2012,Paper
770,7228-LEPPM,519700354,3/9/2012,4/8/2012,32.17,4/18/2012,Paper
897,9883-SDWFS,523612895,4/17/2012,5/17/2012,28.77,5/24/2012,Paper
391,6632-CGYHU,524611481,10/5/2012,11/4/2012,57.86,10/23/2012,Paper
406,5573-KSOIA,524798729,10/19/2013,11/18/2013,57.78,11/16/2013,Electronic
406,5164-VMYWJ,528993923,2/22/2013,3/24/2013,90.22,3/14/2013,Paper
391,6160-HCSFI,533597326,8/20/2012,9/19/2012,65.49,9/12/2012,Paper
391,5529-TBPGK,535335924,7/10/2012,8/9/2012,57.88,8/21/2012,Paper
391,2676-DZINU,535641538,4/26/2012,5/26/2012,65.01,5/18/2012,Paper
406,2621-XCLEH,537837854,2/21/2012,3/22/2012,79.51,4/7/2012,Paper
406,8389-TCXFQ,540061441,1/30/2013,3/1/2013,85.5,2/13/2013,Electronic
897,6177-VTITE,540659475,2/5/2013,3/7/2013,39.33,3/6/2013,Electronic
770,7050-KQLDO,552732928,6/16/2013,7/16/2013,62.26,7/3/2013,Electronic
406,9725-EZTEJ,555108669,5/2/2012,6/1/2012,116.78,5/23/2012,Electronic
770,4460-ZXNDN,557941160,9/1/2013,10/1/2013,73.77,10/16/2013,Electronic
818,8887-NCUZC,561711596,4/16/2013,5/16/2013,37.38,5/21/2013,Electronic
818,5875-VZQCZ,565497922,10/30/2012,11/29/2012,60.8,11/24/2012,Paper
770,4460-ZXNDN,572625167,5/24/2013,6/23/2013,102.98,6/25/2013,Paper
406,4640-FGEJI,572998733,4/19/2012,5/19/2012,70.02,5/21/2012,Paper
897,0688-XNJRO,578091983,12/13/2012,1/12/2013,36.09,1/30/2013,Electronic
897,9883-SDWFS,586870094,3/29/2012,4/28/2012,14.94,5/13/2012,Paper
391,5529-TBPGK,588467684,3/12/2013,4/11/2013,46.63,4/11/2013,Paper
391,0709-LZRJV,598324396,7/7/2012,8/6/2012,10.92,8/16/2012,Paper
818,8887-NCUZC,601440262,5/30/2012,6/29/2012,42.76,7/9/2012,Paper
391,9841-XLGBV,601606458,10/25/2012,11/24/2012,50.97,11/16/2012,Paper
391,9212-BTDMX,604769805,2/21/2013,3/23/2013,73.59,3/1/2013,Electronic
770,9928-IJYBQ,606876865,3/9/2013,4/8/2013,46.61,4/16/2013,Electronic
406,4092-ZAVRG,607578995,9/28/2012,10/28/2012,60.14,10/4/2012,Electronic
391,2820-XGXSB,608187073,5/25/2013,6/24/2013,56.09,5/28/2013,Electronic
391,0709-LZRJV,608905626,9/27/2012,10/27/2012,61.07,10/23/2012,Paper
406,4640-FGEJI,613092852,3/7/2013,4/6/2013,90.34,4/8/2013,Paper
818,3568-JJMFW,617172736,4/3/2013,5/3/2013,77.79,5/3/2013,Electronic
818,6627-ELFBK,620329407,2/15/2013,3/17/2013,76.5,4/1/2013,Electronic
406,7938-EVASK,624274413,8/14/2013,9/13/2013,44.09,9/24/2013,Electronic
770,2447-JCFGW,627613977,4/6/2012,5/6/2012,35.67,5/3/2012,Paper
897,7654-DOLHO,631345640,9/19/2013,10/19/2013,23.62,10/13/2013,Electronic
770,9149-MATVB,633253847,4/1/2013,5/1/2013,50.95,4/25/2013,Paper
770,9149-MATVB,640587193,12/24/2012,1/23/2013,64.18,1/18/2013,Paper
406,4651-PMEXQ,641122100,11/3/2012,12/3/2012,49.01,11/28/2012,Electronic
391,1080-NDGAE,641300165,9/12/2013,10/12/2013,94.57,10/14/2013,Electronic
818,8887-NCUZC,641436694,2/11/2013,3/13/2013,26.37,3/4/2013,Electronic
391,7841-HROAQ,642684114,6/20/2012,7/20/2012,63.36,7/8/2012,Paper
391,2125-HJDLA,645045061,10/26/2012,11/25/2012,43.18,11/24/2012,Electronic
391,6160-HCSFI,647569317,10/20/2013,11/19/2013,92.57,11/1/2013,Electronic
818,8887-NCUZC,649688883,11/3/2013,12/3/2013,52.14,11/28/2013,Electronic
391,5920-DPXLN,649771974,4/26/2013,5/26/2013,68.35,5/7/2013,Electronic
818,8364-UWVLM,658936368,5/17/2013,6/16/2013,69.82,6/3/2013,Electronic
406,5573-KSOIA,659596494,12/5/2012,1/4/2013,75.65,1/14/2013,Paper
818,8102-ABPKQ,666874152,8/18/2012,9/17/2012,57.38,9/29/2012,Paper
391,2125-HJDLA,672948510,11/9/2012,12/9/2012,57.37,12/5/2012,Electronic
818,5924-UOPGH,674518601,7/28/2012,8/27/2012,94.42,8/18/2012,Paper
818,1604-LIFKX,676551273,10/13/2012,11/12/2012,82.74,12/1/2012,Paper
770,7260-ZHAKS,678458928,8/21/2012,9/20/2012,67.74,9/7/2012,Electronic
770,2026-XLBER,679404840,10/7/2013,11/6/2013,49.73,10/17/2013,Electronic
818,9181-HEKGV,681101344,8/27/2012,9/26/2012,85.06,9/22/2012,Paper
406,7600-OISKG,681889913,7/24/2013,8/23/2013,48.17,8/22/2013,Electronic
770,9928-IJYBQ,684720070,4/3/2012,5/3/2012,66.25,5/15/2012,Electronic
406,9725-EZTEJ,685917930,10/13/2012,11/12/2012,124.38,11/10/2012,Electronic
818,9181-HEKGV,689403769,9/29/2013,10/29/2013,76.09,11/11/2013,Paper
406,7600-OISKG,700683520,2/11/2012,3/12/2012,65.67,3/12/2012,Paper
391,8820-BLYDZ,703104577,3/31/2013,4/30/2013,73.49,4/2/2013,Electronic
406,5284-DJOZO,704405155,4/28/2012,5/28/2012,67.34,5/15/2012,Paper
406,1447-YZKCL,705084741,5/2/2013,6/1/2013,56.39,5/28/2013,Electronic
406,7600-OISKG,706375400,5/12/2013,6/11/2013,54.99,6/15/2013,Paper
897,3271-YDPUJ,725765758,4/8/2012,5/8/2012,76.71,5/25/2012,Paper
770,6831-FIODB,726197794,4/11/2013,5/11/2013,41.94,5/22/2013,Paper
818,8102-ABPKQ,728378151,6/25/2013,7/25/2013,80.68,8/8/2013,Paper
818,6004-KITZM,733170200,12/9/2012,1/8/2013,71.71,12/29/2012,Paper
897,1408-OQZUE,739678368,7/4/2013,8/3/2013,42.36,8/6/2013,Electronic
897,8690-EEBEO,744801013,3/1/2013,3/31/2013,61.04,4/7/2013,Electronic
391,9212-BTDMX,744808791,12/13/2012,1/12/2013,53.91,12/28/2012,Electronic
770,0625-TNJFG,748230672,5/11/2013,6/10/2013,53.01,6/5/2013,Paper
770,6831-FIODB,750411142,11/27/2012,12/27/2012,59.71,12/29/2012,Paper
406,5284-DJOZO,750477087,10/24/2012,11/23/2012,94.88,10/26/2012,Electronic
770,5592-UQXSS,755429128,10/6/2013,11/5/2013,43.12,11/10/2013,Electronic
897,0688-XNJRO,760825845,8/10/2013,9/9/2013,40.58,9/18/2013,Electronic
770,0625-TNJFG,761602627,9/7/2013,10/7/2013,64.16,10/18/2013,Electronic
391,9174-IYKOC,762698565,5/12/2012,6/11/2012,74.7,6/4/2012,Paper
818,5613-UHVMG,764361492,11/17/2012,12/17/2012,63.8,1/5/2013,Electronic
406,5573-KSOIA,769617971,1/17/2013,2/16/2013,86.27,2/28/2013,Paper
818,8364-UWVLM,773493683,9/15/2013,10/15/2013,65.36,10/21/2013,Electronic
406,5164-VMYWJ,775479959,9/1/2013,10/1/2013,65.9,10/3/2013,Paper
406,3448-OWJOT,781909762,7/30/2013,8/29/2013,66.71,9/9/2013,Electronic
770,6077-FDQRK,784468555,9/25/2013,10/25/2013,18.9,10/25/2013,Electronic
406,4640-FGEJI,806089606,9/12/2013,10/12/2013,76.18,10/5/2013,Electronic
406,9758-AIEIK,816501620,8/20/2012,9/19/2012,33.82,9/7/2012,Electronic
391,9212-BTDMX,818753502,1/15/2013,2/14/2013,48.18,2/4/2013,Electronic
406,5573-KSOIA,822444456,10/13/2012,11/12/2012,102.61,11/30/2012,Paper
391,7209-MDWKR,826558350,6/24/2013,7/24/2013,49.68,7/30/2013,Paper
391,5196-TWQXF,828222998,4/13/2012,5/13/2012,77.6,5/18/2012,Paper
897,8942-ERSWK,839049806,9/18/2013,10/18/2013,19.82,9/22/2013,Electronic
391,6708-DPYTF,839756390,11/25/2013,12/25/2013,76.18,12/31/2013,Electronic
406,5284-DJOZO,847327295,8/4/2012,9/3/2012,72.95,9/9/2012,Paper
391,1080-NDGAE,857712918,2/22/2013,3/24/2013,93.39,4/4/2013,Electronic
406,0783-PEPYR,858258272,9/30/2013,10/30/2013,43.67,11/10/2013,Paper
391,5196-TWQXF,863594173,2/25/2012,3/26/2012,65.6,4/1/2012,Paper
391,0379-NEVHP,869802822,9/1/2012,10/1/2012,69.55,9/23/2012,Paper
406,6048-QPZCF,870792057,3/19/2012,4/18/2012,73.92,3/24/2012,Paper
818,5875-VZQCZ,872319562,9/18/2013,10/18/2013,46.17,10/2/2013,Electronic
391,5920-DPXLN,873433318,5/5/2012,6/4/2012,82.2,5/24/2012,Paper
897,9883-SDWFS,874115043,5/8/2012,6/7/2012,41.25,6/20/2012,Paper
770,9149-MATVB,874394980,3/14/2013,4/13/2013,23.92,4/16/2013,Paper
818,6627-ELFBK,876573329,3/27/2013,4/26/2013,71.39,5/4/2013,Electronic
391,5529-TBPGK,881665013,12/25/2012,1/24/2013,37.97,2/11/2013,Paper
406,6048-QPZCF,882058462,2/8/2012,3/9/2012,86.44,3/1/2012,Paper
406,7245-CKNCN,883694015,9/14/2013,10/14/2013,92.77,9/26/2013,Electronic
770,3831-FXWYK,884183285,9/27/2013,10/27/2013,53.05,10/23/2013,Electronic
818,8364-UWVLM,886237244,6/30/2012,7/30/2012,74.84,8/5/2012,Paper
406,7600-OISKG,889501782,4/30/2012,5/30/2012,97.06,5/30/2012,Paper
897,6391-GBFQJ,893037091,2/9/2012,3/10/2012,6.43,2/25/2012,Paper
406,4092-ZAVRG,893342729,10/23/2012,11/22/2012,84.43,11/21/2012,Electronic
770,6831-FIODB,893954880,5/22/2013,6/21/2013,51.92,6/16/2013,Electronic
770,0465-DTULQ,902573987,3/1/2013,3/31/2013,68.35,3/31/2013,Paper
406,6833-ETVHD,903308758,4/23/2012,5/23/2012,73.87,5/16/2012,Paper
770,2447-JCFGW,905360282,1/24/2013,2/23/2013,73.28,2/13/2013,Electronic
391,5529-TBPGK,907309591,5/29/2012,6/28/2012,64.78,6/29/2012,Paper
818,5924-UOPGH,910054452,4/13/2012,5/13/2012,84.43,5/1/2012,Paper
391,3569-VJWXS,910348225,8/18/2012,9/17/2012,102.96,9/15/2012,Paper
818,9181-HEKGV,910856055,8/21/2013,9/20/2013,72.55,10/9/2013,Paper
406,8976-AMJEO,915133709,11/11/2012,12/11/2012,59.8,12/7/2012,Electronic
391,1080-NDGAE,915652542,1/5/2012,2/4/2012,78.29,2/13/2012,Paper
770,6077-FDQRK,921537795,12/30/2012,1/29/2013,49.84,1/16/2013,Electronic
391,7841-HROAQ,929902016,5/18/2013,6/17/2013,64.3,6/14/2013,Paper
406,7938-EVASK,934328892,7/5/2012,8/4/2012,59.67,8/8/2012,Paper
897,0688-XNJRO,936925570,12/10/2012,1/9/2013,30.98,1/17/2013,Electronic
818,7946-HJDUR,938015647,4/22/2013,5/22/2013,49.03,5/15/2013,Electronic
406,7245-CKNCN,939622166,9/10/2012,10/10/2012,85.36,9/29/2012,Electronic
406,4640-FGEJI,940363147,11/2/2012,12/2/2012,99.34,12/5/2012,Paper
391,0379-NEVHP,951035745,6/5/2013,7/5/2013,57.04,6/19/2013,Electronic
406,4640-FGEJI,956388773,6/17/2012,7/17/2012,58.13,7/28/2012,Paper
770,4460-ZXNDN,959092964,1/15/2013,2/14/2013,72.05,3/10/2013,Paper
406,7938-EVASK,975332365,7/17/2013,8/16/2013,72.1,8/14/2013,Electronic
770,0706-NRGUP,979439975,11/24/2012,12/24/2012,39.62,1/10/2013,Paper
897,0688-XNJRO,981596189,6/7/2012,7/7/2012,45.79,7/28/2012,Paper
818,9181-HEKGV,986187012,1/27/2012,2/26/2012,86.92,3/8/2012,Paper
391,5920-DPXLN,990527729,11/4/2012,12/4/2012,58.73,12/9/2012,Paper
770,3831-FXWYK,1006151066,11/24/2012,12/24/2012,83.66,1/3/2013,Paper
897,9883-SDWFS,1006769217,9/14/2012,10/14/2012,33.86,10/19/2012,Paper
897,1408-OQZUE,1012251297,2/21/2012,3/22/2012,26.05,4/21/2012,Paper
391,6160-HCSFI,1014106295,6/14/2012,7/14/2012,65.57,7/2/2012,Paper
406,7245-CKNCN,1020758229,6/6/2013,7/6/2013,67.19,6/20/2013,Electronic
818,3568-JJMFW,1026638537,7/27/2013,8/26/2013,70.86,8/23/2013,Electronic
391,5196-TWQXF,1027852268,9/16/2013,10/16/2013,37.22,10/6/2013,Electronic
406,9117-LYRCE,1035721042,11/11/2012,12/11/2012,11.13,12/17/2012,Paper
391,5529-TBPGK,1043332774,7/7/2012,8/6/2012,79.09,8/6/2012,Paper
897,1168-BEASA,1047899565,4/14/2013,5/14/2013,57,5/4/2013,Paper
770,7228-LEPPM,1048700348,4/12/2013,5/12/2013,52.67,5/19/2013,Electronic
818,5148-SYKLB,1054254710,11/21/2013,12/21/2013,75.54,12/23/2013,Electronic
406,0783-PEPYR,1056254354,11/6/2013,12/6/2013,71.78,12/6/2013,Paper
897,7372-CESLR,1057997164,2/17/2012,3/18/2012,20.8,3/8/2012,Paper
897,9250-VHLWY,1061077534,10/3/2013,11/2/2013,53.85,10/22/2013,Electronic
391,7841-HROAQ,1064822506,2/10/2013,3/12/2013,91.89,3/7/2013,Paper
770,9149-MATVB,1066047916,8/15/2012,9/14/2012,48.02,9/19/2012,Paper
770,9323-NDIOV,1069788528,10/19/2012,11/18/2012,20.23,11/18/2012,Electronic
406,3448-OWJOT,1070459520,3/14/2012,4/13/2012,86.1,4/28/2012,Paper
770,7260-ZHAKS,1072551347,8/30/2012,9/29/2012,60.64,9/21/2012,Electronic
897,9883-SDWFS,1078203507,2/3/2013,3/5/2013,41.96,3/17/2013,Paper
391,9212-BTDMX,1087780845,4/8/2013,5/8/2013,64.81,4/25/2013,Electronic
391,6632-CGYHU,1089324685,3/29/2013,4/28/2013,85.33,4/7/2013,Electronic
818,9181-HEKGV,1099187495,5/20/2013,6/19/2013,75.18,6/21/2013,Paper
406,8976-AMJEO,1102283094,5/21/2012,6/20/2012,84.81,6/19/2012,Electronic
406,4640-FGEJI,1102427426,9/2/2012,10/2/2012,68.57,10/14/2012,Paper
897,9883-SDWFS,1120525583,9/10/2013,10/10/2013,46.73,10/10/2013,Electronic
770,7856-ODQFO,1123460834,11/4/2012,12/4/2012,30.4,11/24/2012,Electronic
391,2125-HJDLA,1124489539,12/7/2012,1/6/2013,42.29,12/31/2012,Electronic
818,5613-UHVMG,1125640611,4/24/2013,5/24/2013,74.11,6/2/2013,Electronic
818,3271-HYHDN,1130346124,5/3/2012,6/2/2012,27.53,5/8/2012,Paper
406,4640-FGEJI,1133671020,6/30/2013,7/30/2013,97.75,7/19/2013,Electronic
897,6177-VTITE,1134404593,6/25/2012,7/25/2012,71.35,7/15/2012,Paper
818,5875-VZQCZ,1138691181,5/27/2013,6/26/2013,55.99,6/25/2013,Paper
391,3569-VJWXS,1148330280,1/27/2012,2/26/2012,58.71,2/29/2012,Paper
391,5196-TWQXF,1157522817,12/4/2012,1/3/2013,61.73,12/27/2012,Electronic
897,8690-EEBEO,1158168123,6/15/2012,7/15/2012,51.35,7/27/2012,Paper
897,9286-VLKMI,1166745208,11/27/2013,12/27/2013,74.75,12/7/2013,Electronic
818,3271-HYHDN,1175501399,5/7/2012,6/6/2012,60.55,5/15/2012,Paper
391,6160-HCSFI,1181151524,8/22/2012,9/21/2012,61.84,9/8/2012,Paper
818,5924-UOPGH,1184394683,9/15/2012,10/15/2012,96.74,10/29/2012,Paper
818,5613-UHVMG,1185375111,9/28/2013,10/28/2013,67.08,11/8/2013,Electronic
770,6077-FDQRK,1187373900,4/6/2012,5/6/2012,82.4,4/30/2012,Paper
391,3569-VJWXS,1190360256,8/7/2012,9/6/2012,92.18,9/11/2012,Paper
391,2423-QOKIO,1199977661,8/6/2012,9/5/2012,47.86,9/17/2012,Paper
